Palavra_Chave,Frequencia,Offset,Timestamp_Coleta
Ação cultural,1,150,2025-12-30T15:49:38.914830
Ação curatorial,1,150,2025-12-30T15:49:38.914830
Ação de cohomogeneidade um,1,150,2025-12-30T15:49:38.914830
Ação de grupo,2,150,2025-12-30T15:49:38.914830
Ação de inconstitucionalidade,1,150,2025-12-30T15:49:38.914830
Ação de prestação de contas,6,150,2025-12-30T15:49:38.914830
Ação Direta de Inconstitucionalidade (ADI),6,150,2025-12-30T15:49:38.914830
Ação Direta de Inconstitucionalidade por Omissão (ADO),1,150,2025-12-30T15:49:38.914830
Ação educativa,1,150,2025-12-30T15:49:38.914830
Ação espectral,2,150,2025-12-30T15:49:38.914830
Ação física,1,150,2025-12-30T15:49:38.914830
Ação isométrica,1,150,2025-12-30T15:49:38.914830
Ação judicial,5,150,2025-12-30T15:49:38.914830
Ação jurídica de liberdade,1,150,2025-12-30T15:49:38.914830
Ação on-shell,1,150,2025-12-30T15:49:38.914830
Ação parlamentar,1,150,2025-12-30T15:49:38.914830
Ação pedagógica,1,150,2025-12-30T15:49:38.914830
Ação pedagógico-musical,1,150,2025-12-30T15:49:38.914830
Ação política,1,150,2025-12-30T15:49:38.914830
Ação prática e reflexiva,1,150,2025-12-30T15:49:38.914830
Ação pública,19,150,2025-12-30T15:49:38.914830
Ação social,8,150,2025-12-30T15:49:38.914830
Ação social - Porto Alegre (RS),1,150,2025-12-30T15:49:38.914830
Acapu,1,150,2025-12-30T15:49:38.914830
Acapulco,1,150,2025-12-30T15:49:38.914830
Acaricida,1,150,2025-12-30T15:49:38.914830
Ácaro,1,150,2025-12-30T15:49:38.914830
Ácaro de plantas,2,150,2025-12-30T15:49:38.914830
Ácaros,5,150,2025-12-30T15:49:38.914830
Ácaros plumícolas,1,150,2025-12-30T15:49:38.914830
Accipitridae neotropicais,1,150,2025-12-30T15:49:38.914830
Acclas,1,150,2025-12-30T15:49:38.914830
Accountability,45,150,2025-12-30T15:49:38.914830
Accountability democrática,1,150,2025-12-30T15:49:38.914830
Accountability horizontal,1,150,2025-12-30T15:49:38.914830
Accounting gimmicks,1,150,2025-12-30T15:49:38.914830
Accouting Standard Codification 842 (ASC 842),1,200,2025-12-30T15:49:43.011325
Accruals,1,200,2025-12-30T15:49:43.011325
Accruals discricionários,3,200,2025-12-30T15:49:43.011325
Accruals específicos,1,200,2025-12-30T15:49:43.011325
ACE2,2,200,2025-12-30T15:49:43.011325
Aceitabilidade,1,200,2025-12-30T15:49:43.011325
Aceitação de tecnologia,2,200,2025-12-30T15:49:43.011325
Aceleração de partículas,1,200,2025-12-30T15:49:43.011325
Aceleração EM,1,200,2025-12-30T15:49:43.011325
Aceleração social,1,200,2025-12-30T15:49:43.011325
Aceleracionismo,1,200,2025-12-30T15:49:43.011325
Aceleradores,2,200,2025-12-30T15:49:43.011325
Acelerômetros,2,200,2025-12-30T15:49:43.011325
Acentos e acentuação,2,200,2025-12-30T15:49:43.011325
Acervo,2,200,2025-12-30T15:49:43.011325
Acervo afrorreligioso,1,200,2025-12-30T15:49:43.011325
Acervo arquivístico,1,200,2025-12-30T15:49:43.011325
Acervo fotográfico,4,200,2025-12-30T15:49:43.011325
Acervo imagético,1,200,2025-12-30T15:49:43.011325
Acervo jurídico,1,200,2025-12-30T15:49:43.011325
Acervos digitais,5,200,2025-12-30T15:49:43.011325
Acervos digitais - agregação,2,200,2025-12-30T15:49:43.011325
Acervos digitais - política,1,200,2025-12-30T15:49:43.011325
Acervos digitalizados,1,200,2025-12-30T15:49:43.011325
Acervos documentais,1,200,2025-12-30T15:49:43.011325
Acervos em rede,1,200,2025-12-30T15:49:43.011325
Acervos históricos escolares,1,200,2025-12-30T15:49:43.011325
Acessibilidade,62,200,2025-12-30T15:49:43.011325
Acessibilidade - políticas públicas,1,200,2025-12-30T15:49:43.011325
Acessibilidade ao transporte local,1,200,2025-12-30T15:49:43.011325
Acessibilidade arquitetônica,1,200,2025-12-30T15:49:43.011325
Acessibilidade atitudinal,1,200,2025-12-30T15:49:43.011325
Acessibilidade conceitual,1,200,2025-12-30T15:49:43.011325
Acessibilidade cultural,4,200,2025-12-30T15:49:43.011325
Acessibilidade digital,2,200,2025-12-30T15:49:43.011325
Acessibilidade digital - manual,1,200,2025-12-30T15:49:43.011325
Acessibilidade física,1,200,2025-12-30T15:49:43.011325
Acessibilidade linguística,3,200,2025-12-30T15:49:43.011325
Acesso,1,200,2025-12-30T15:49:43.011325
Acesso à água,1,200,2025-12-30T15:49:43.011325
Acesso à arte,2,200,2025-12-30T15:49:43.011325
Acesso à cultura,3,200,2025-12-30T15:49:43.011325
Acesso à educação,1,200,2025-12-30T15:49:43.011325
Acesso à informação,48,200,2025-12-30T15:49:43.011325
Acesso à informação em saúde,1,200,2025-12-30T15:49:43.011325
Acesso à internet,5,200,2025-12-30T15:49:43.011325
Acesso à internet em casa,1,200,2025-12-30T15:49:43.011325
Acesso à justiça,33,200,2025-12-30T15:49:43.011325
Acesso à justiça substancial,1,200,2025-12-30T15:49:43.011325
Acesso a medicamentos,3,200,2025-12-30T15:49:43.011325
Acesso à saúde,9,250,2025-12-30T15:49:47.005012
Acesso a serviços públicos de saúde,7,250,2025-12-30T15:49:47.005012
Acesso à tecnologia,1,250,2025-12-30T15:49:47.005012
Acesso à universidade,2,250,2025-12-30T15:49:47.005012
Acesso aberto,14,250,2025-12-30T15:49:47.005012
Acesso aberto - Brasil,1,250,2025-12-30T15:49:47.005012
Acesso aberto à informação,35,250,2025-12-30T15:49:47.005012
Acesso ao crédito,1,250,2025-12-30T15:49:47.005012
Acesso aos serviços de saúde,29,250,2025-12-30T15:49:47.005012
Acesso dinâmico ao espectro,2,250,2025-12-30T15:49:47.005012
Acesso domiciliar à internet,1,250,2025-12-30T15:49:47.005012
Acesso múltiplo de antena fluida,1,250,2025-12-30T15:49:47.005012
Acesso oportunista ao espectro,1,250,2025-12-30T15:49:47.005012
Acesso universal,1,250,2025-12-30T15:49:47.005012
Acetamidase,1,250,2025-12-30T15:49:47.005012
Acetato de celulose,1,250,2025-12-30T15:49:47.005012
Acetato de lupeol,1,250,2025-12-30T15:49:47.005012
Acetilação,1,250,2025-12-30T15:49:47.005012
Acetilcolinesterase,5,250,2025-12-30T15:49:47.005012
Achados clínicos,1,250,2025-12-30T15:49:47.005012
Achatina fulica,1,250,2025-12-30T15:49:47.005012
AChE,1,250,2025-12-30T15:49:47.005012
"Achebe, Chinua",2,250,2025-12-30T15:49:47.005012
Achille Mbembe,1,250,2025-12-30T15:49:47.005012
Achourioti,1,250,2025-12-30T15:49:47.005012
Acidente aéreo,3,250,2025-12-30T15:49:47.005012
Acidente ofídico,3,250,2025-12-30T15:49:47.005012
Acidente vascular cerebral,26,250,2025-12-30T15:49:47.005012
Acidente vascular cerebral - pacientes,4,250,2025-12-30T15:49:47.005012
Acidente vascular cerebral isquêmico,4,250,2025-12-30T15:49:47.005012
Acidente vascular encefálico,1,250,2025-12-30T15:49:47.005012
Acidentes,3,250,2025-12-30T15:49:47.005012
Acidentes - fatores de risco,2,250,2025-12-30T15:49:47.005012
Acidentes - riscos,1,250,2025-12-30T15:49:47.005012
Acidentes - saúde,3,250,2025-12-30T15:49:47.005012
Acidentes de trabalho,12,250,2025-12-30T15:49:47.005012
Acidentes de trânsito,27,250,2025-12-30T15:49:47.005012
Acidentes de trânsito - Distrito Federal (Brasil),4,250,2025-12-30T15:49:47.005012
Acidentes de trânsito - estatística,2,250,2025-12-30T15:49:47.005012
Acidentes de trânsito - prevenção,2,250,2025-12-30T15:49:47.005012
Acidentes de trânsito - previsão,2,250,2025-12-30T15:49:47.005012
Acidentes do trabalho,12,250,2025-12-30T15:49:47.005012
Acidentes por quedas,3,250,2025-12-30T15:49:47.005012
Acidentes vasculares cerebrais,1,250,2025-12-30T15:49:47.005012
Acidez - resistência,1,250,2025-12-30T15:49:47.005012
Ácido 12-tungstofosfórico,1,250,2025-12-30T15:49:47.005012
Ácido 12-tungstofosfórico suportado,1,250,2025-12-30T15:49:47.005012
Ácido 12-tungstosilícico,1,250,2025-12-30T15:49:47.005012
Ácido 5-aminolevulínico,1,250,2025-12-30T15:49:47.005012
Ácido acético,2,250,2025-12-30T15:49:47.005012
Ácido acetilsalicílico,1,300,2025-12-30T15:49:50.996782
Ácido acrílico,1,300,2025-12-30T15:49:50.996782
Ácido aminolevulínico,1,300,2025-12-30T15:49:50.996782
Ácido anacárdico,16,300,2025-12-30T15:49:50.996782
Ácido benzóico,1,300,2025-12-30T15:49:50.996782
Ácido caínico,1,300,2025-12-30T15:49:50.996782
Ácido cítrico,8,300,2025-12-30T15:49:50.996782
Ácido clorogênico,1,300,2025-12-30T15:49:50.996782
Ácido docosahexaenoico,2,300,2025-12-30T15:49:50.996782
Ácido ferúlico,1,300,2025-12-30T15:49:50.996782
Ácido fólico,8,300,2025-12-30T15:49:50.996782
Ácido fosfórico,1,300,2025-12-30T15:49:50.996782
Ácido fosfotungstico,1,300,2025-12-30T15:49:50.996782
Ácido fosfotúngstico,1,300,2025-12-30T15:49:50.996782
Ácido gálico,1,300,2025-12-30T15:49:50.996782
Ácido glicérico,1,300,2025-12-30T15:49:50.996782
Ácido glicólico,1,300,2025-12-30T15:49:50.996782
Ácido glucônico,1,300,2025-12-30T15:49:50.996782
Ácido graxo monoinsaturado,1,300,2025-12-30T15:49:50.996782
Ácido hialurônico,6,300,2025-12-30T15:49:50.996782
Ácido hidroxâmico,1,300,2025-12-30T15:49:50.996782
Ácido húmico,3,300,2025-12-30T15:49:50.996782
Ácido isoanacárdico,1,300,2025-12-30T15:49:50.996782
Ácido kójico,1,300,2025-12-30T15:49:50.996782
Ácido labdânico,1,300,2025-12-30T15:49:50.996782
Ácido lático,13,300,2025-12-30T15:49:50.996782
Ácido láurico,1,300,2025-12-30T15:49:50.996782
Ácido linoleico,3,300,2025-12-30T15:49:50.996782
Ácido lipoteicóico,1,300,2025-12-30T15:49:50.996782
Ácido oléico,9,300,2025-12-30T15:49:50.996782
Ácido palmítico,1,300,2025-12-30T15:49:50.996782
Ácido pantotênico,1,300,2025-12-30T15:49:50.996782
Ácido poliláctico,1,300,2025-12-30T15:49:50.996782
Ácido polilático,1,300,2025-12-30T15:49:50.996782
Ácido ribonucléico,11,300,2025-12-30T15:49:50.996782
Ácido rosmarínico,2,300,2025-12-30T15:49:50.996782
Ácido salicílico,1,300,2025-12-30T15:49:50.996782
Ácido xilônico,2,300,2025-12-30T15:49:50.996782
Ácido xilônico - produção,2,300,2025-12-30T15:49:50.996782
Acidobacteria,1,300,2025-12-30T15:49:50.996782
Ácidos,10,300,2025-12-30T15:49:50.996782
Ácidos carboxílicos,1,300,2025-12-30T15:49:50.996782
Ácidos de Lewis,1,300,2025-12-30T15:49:50.996782
Ácidos fenólicos,1,300,2025-12-30T15:49:50.996782
Ácidos graxos,27,300,2025-12-30T15:49:50.996782
Ácidos graxos - câncer - aspectos nutricionais,1,300,2025-12-30T15:49:50.996782
Ácidos graxos - composição,1,300,2025-12-30T15:49:50.996782
Ácidos graxos Ômega-3,2,300,2025-12-30T15:49:50.996782
Ácidos nucleicos,1,300,2025-12-30T15:49:50.996782
Ácidos nucleicos - extração,1,300,2025-12-30T15:49:50.996782
Ácidos orgânicos,3,350,2025-12-30T15:49:54.996098
Acidose tubular renal,1,350,2025-12-30T15:49:54.996098
Acitretina,1,350,2025-12-30T15:49:54.996098
Aclimatação - animais,1,350,2025-12-30T15:49:54.996098
Aclimatização,3,350,2025-12-30T15:49:54.996098
Acne,1,350,2025-12-30T15:49:54.996098
Acne vulgaris,2,350,2025-12-30T15:49:54.996098
Aço,9,350,2025-12-30T15:49:54.996098
Aço - corrosão,2,350,2025-12-30T15:49:54.996098
Aço - estruturas,15,350,2025-12-30T15:49:54.996098
Aço - estruturas - fadiga,10,350,2025-12-30T15:49:54.996098
Aço - estruturas - propriedades mecânicas,3,350,2025-12-30T15:49:54.996098
Aço - ferramenta - corrosão,1,350,2025-12-30T15:49:54.996098
Aço - ferramenta - resistência de materiais,2,350,2025-12-30T15:49:54.996098
Aço - ferramenta - testes,1,350,2025-12-30T15:49:54.996098
Aço - tratamento térmico,5,350,2025-12-30T15:49:54.996098
Aço de baixo carbono,1,350,2025-12-30T15:49:54.996098
Aço grau R4,1,350,2025-12-30T15:49:54.996098
Aço inoxidável,7,350,2025-12-30T15:49:54.996098
Aço laminado,1,350,2025-12-30T15:49:54.996098
Aço-carbono,1,350,2025-12-30T15:49:54.996098
Açobrita,2,350,2025-12-30T15:49:54.996098
Ações,1,350,2025-12-30T15:49:54.996098
Ações (Finanças),40,350,2025-12-30T15:49:54.996098
Ações (Finanças) - petróleo - Brasil,1,350,2025-12-30T15:49:54.996098
Ações - serviços de saúde,1,350,2025-12-30T15:49:54.996098
Ações afetivas,2,350,2025-12-30T15:49:54.996098
Ações afirmativas,22,350,2025-12-30T15:49:54.996098
Ações culturais,1,350,2025-12-30T15:49:54.996098
Ações de informação,1,350,2025-12-30T15:49:54.996098
Ações de sustentabilidade,1,350,2025-12-30T15:49:54.996098
Ações e relações pedagógicas,1,350,2025-12-30T15:49:54.996098
Ações emergenciais,1,350,2025-12-30T15:49:54.996098
Ações no Ensino de Ciências,1,350,2025-12-30T15:49:54.996098
Ações pedagógicas,4,350,2025-12-30T15:49:54.996098
Ações sociais - investimentos,1,350,2025-12-30T15:49:54.996098
Acolhimento,18,350,2025-12-30T15:49:54.996098
Acolhimento familiar,1,350,2025-12-30T15:49:54.996098
Acolhimento institucional,5,350,2025-12-30T15:49:54.996098
Acompanhamento clínico,1,350,2025-12-30T15:49:54.996098
Acompanhamento de egresso,2,350,2025-12-30T15:49:54.996098
Acompanhamento farmacoterapêutico,1,350,2025-12-30T15:49:54.996098
Acompanhamento musical,1,350,2025-12-30T15:49:54.996098
Acompanhamento terapêutico,2,350,2025-12-30T15:49:54.996098
Acompanhantes de pacientes,2,350,2025-12-30T15:49:54.996098
Aconselhamento,1,350,2025-12-30T15:49:54.996098
Aconselhamento contraceptivo pré-natal,1,350,2025-12-30T15:49:54.996098
Aconselhamento em nutrição,11,350,2025-12-30T15:49:54.996098
Aconselhamento em nutrição - trabalhadores,1,350,2025-12-30T15:49:54.996098
Aconselhamento genético,7,350,2025-12-30T15:49:54.996098
Aconselhamento profissional,1,400,2025-12-30T15:49:59.189055
Aconselhamento psicológico,1,400,2025-12-30T15:49:59.189055
Aconselhamento psiquiátrico,3,400,2025-12-30T15:49:59.189055
Aconselhamento sexual,3,400,2025-12-30T15:49:59.189055
Acoplamento eletrônico,2,400,2025-12-30T15:49:59.189055
Acoplamento estrutural,2,400,2025-12-30T15:49:59.189055
Acoplamento hidromecânico,2,400,2025-12-30T15:49:59.189055
Acoplamento indutivo,1,400,2025-12-30T15:49:59.189055
Acoplamento molecular,6,400,2025-12-30T15:49:59.189055
Acoplamento neurovascular,1,400,2025-12-30T15:49:59.189055
Acoplamentos,2,400,2025-12-30T15:49:59.189055
Acordo colectivo de trabalho,1,400,2025-12-30T15:49:59.189055
Acordo de Basileia,3,400,2025-12-30T15:49:59.189055
Acordo de Bonn,1,400,2025-12-30T15:49:59.189055
Acordo de capitais,2,400,2025-12-30T15:49:59.189055
Acordo de Copenhague,1,400,2025-12-30T15:49:59.189055
Acordo de Dayton,1,400,2025-12-30T15:49:59.189055
Acordo de leniência,5,400,2025-12-30T15:49:59.189055
Acordo de Marrakesh,1,400,2025-12-30T15:49:59.189055
Acordo de não persecução civil,2,400,2025-12-30T15:49:59.189055
Acordo de não persecução penal,2,400,2025-12-30T15:49:59.189055
Acordo de Paris,3,400,2025-12-30T15:49:59.189055
Acordo de Paz colombiano,1,400,2025-12-30T15:49:59.189055
Acordo de seguridade social,1,400,2025-12-30T15:49:59.189055
Acordo financeiro,1,400,2025-12-30T15:49:59.189055
Acordo Geral de Tarifas e Comércio (Organização),6,400,2025-12-30T15:49:59.189055
Acordo Geral sobre o Comércio de Serviços (GATS),1,400,2025-12-30T15:49:59.189055
Acordo internacional,3,400,2025-12-30T15:49:59.189055
Acordo Nuclear,1,400,2025-12-30T15:49:59.189055
Acordos Ambientais Multilaterais,1,400,2025-12-30T15:49:59.189055
Acordos comerciais,7,400,2025-12-30T15:49:59.189055
Acordos de compensação,3,400,2025-12-30T15:49:59.189055
Acordos de compensação comercial e tecnológico,1,400,2025-12-30T15:49:59.189055
Acordos de investimentos,1,400,2025-12-30T15:49:59.189055
Acordos de parceria,1,400,2025-12-30T15:49:59.189055
Acordos MEC-USAID,1,400,2025-12-30T15:49:59.189055
Acordos voluntários,1,400,2025-12-30T15:49:59.189055
Acquired immunodefi ciency syndrome - prevention and control,1,400,2025-12-30T15:49:59.189055
Acre (Estado),12,400,2025-12-30T15:49:59.189055
Acre (Estado) - desmatamento,1,400,2025-12-30T15:49:59.189055
Acre (Estado) - pesquisa florestal,1,400,2025-12-30T15:49:59.189055
Acrilonitrila-Butadieno-Estireno (ABS),1,400,2025-12-30T15:49:59.189055
Acroceridae,1,400,2025-12-30T15:49:59.189055
Acromegalia,13,400,2025-12-30T15:49:59.189055
Actigrafia,1,400,2025-12-30T15:49:59.189055
Actinomicetos do solo,1,400,2025-12-30T15:49:59.189055
Actinomicina D,1,400,2025-12-30T15:49:59.189055
Action research,1,400,2025-12-30T15:49:59.189055
Açúcar,7,400,2025-12-30T15:49:59.189055
Açúcar - consumo,1,400,2025-12-30T15:49:59.189055
Açúcar - estética - aspectos antropológicos,1,450,2025-12-30T15:50:03.387761
Açúcar orgânico,1,450,2025-12-30T15:50:03.387761
Açúcares totais,1,450,2025-12-30T15:50:03.387761
Acuidade visual,3,450,2025-12-30T15:50:03.387761
