Termo Principal;Possíveis Duplicatas;Total Variações;Frequência Somada
Produtos hortigranjeiros - Distrito Federal (Brasil);Distrito Federal (Brasil) (100%) | Produtos (100%) | Produtos hortigranjeiros - Distrito Federal (Brasil) (100%) | Cão - Distrito Federal (Brasil) (93%) | Aves - Distrito Federal (Brasil) (92%) | Soja - Distrito Federal (Brasil) (92%) | Distrito Federal (Brasil) - flora (90%) | Metrô - Distrito Federal (Brasil) (90%) | Saúde - Distrito Federal (Brasil) (90%) | Solos - Distrito Federal (Brasil) (90%) | Dengue - Distrito Federal (Brasil) (89%) | Idosos - Distrito Federal (Brasil) (89%) | Jovens - Distrito Federal (Brasil) (89%) | Teatro - Distrito Federal (Brasil) (89%) | Tomate - Distrito Federal (Brasil) (89%) | Creches - Distrito Federal (Brasil) (87%) | Cultura - Distrito Federal (Brasil) (87%) | Distrito Federal (Brasil) - cultura (87%) | Emprego - Distrito Federal (Brasil) (87%) | Escolas - Distrito Federal (Brasil) (87%) | Esgotos - Distrito Federal (Brasil) (87%) | Família - Distrito Federal (Brasil) (87%) | Favelas - Distrito Federal (Brasil) (87%) | Plantas - Distrito Federal (Brasil) (87%) | Polícia - Distrito Federal (Brasil) (87%) | Bioética - Distrito Federal (Brasil) (86%) | Botânica - Distrito Federal (Brasil) (86%) | Cerrados - Distrito Federal (Brasil) (86%) | Distrito Federal (Brasil) - comércio (86%) | Distrito Federal (Brasil) - história (86%);30;381
Água - transporte;Água (100%) | Água - transporte (100%) | Transporte (100%) | Transporte de água (94%) | Grãos - transporte (86%) | Transporte - animal (83%) | Animais - transporte (83%) | Cabotagem - transporte de carga (83%) | Distrito Federal (Brasil) - transporte público - uso (83%) | Hampton Roads (EUA) - transporte público - uso (83%) | Infraestrutura rodoviária - transporte (83%) | Moçambique - transporte aéreo (83%) | Petróleo - transporte (83%) | Política de transporte urbano - aspectos econômicos (83%) | Redes de Transporte - Arquitetura (83%) | Resíduos sólidos - transporte (83%) | Sementes - transporte de mercadorias (83%) | Transporte - Brasil (83%) | Transporte - desenvolvimento econômico (83%) | Transporte - planejamento regional (83%) | Transporte aéreo -  vulnerabilidade (83%) | Transporte aéreo - administração (83%) | Transporte aéreo - vulnerabilidade (83%) | Transporte de carga - vulnerabilidade (83%) | Transporte de mercadorias - Brasil (83%) | Transporte de mercadorias - poluição (83%) | Transporte ferroviário - aspectos econômicos (83%) | Transporte ferroviário - avaliação - Brasil (83%) | Transporte ferroviário - Brasil (83%) | Transporte ferroviário - planejamento regional (83%);30;116
Comunicação - aspectos sociais;Aspectos sociais (100%) | Comunicação (100%) | Comunicação - aspectos sociais (100%) | Comunicação de massa - aspectos sociais (100%) | Comunidade - aspectos sociais (88%) | Educação - aspectos sociais (88%) | Música - aspectos sociais (87%) | Automação - aspectos sociais (86%) | Poder - aspectos sociais (86%) | Comunicação D2D (85%) | Crianças - aspectos sociais (84%) | Cinema - aspectos sociais (84%) | Drogas - aspectos sociais (84%) | Índios - aspectos sociais (84%) | Alimentação - aspectos sociais (83%) | Comunicações digitais - aspectos sociais (83%) | Habitação - aspectos sociais (83%) | Ciência - aspectos sociais (82%) | Atletas - aspectos sociais (82%) | Direito - aspectos sociais (82%) | Pobreza - aspectos sociais (82%) | Prisões - aspectos sociais (82%) | Turismo - aspectos sociais (82%) | Comunicação oral (81%) | Amazônia - aspectos sociais (81%) | Bioética - aspectos sociais (81%) | Infância - aspectos sociais (81%) | Microfinanças - aspectos sociais (81%) | Política econômica - aspectos sociais (81%) | Esportes - aspectos sociais (80%);30;336
Comunicação - estudo e ensino;Comunicação (100%) | Comunicação - estudo e ensino (100%) | Ensino (100%) | Estudo (100%) | Estudo e ensino (100%) | Educação - estudo e ensino (87%) | Arte - estudo e ensino (87%) | Ótica - estudo e ensino (85%) | Piano - estudo e ensino (85%) | Saúde - estudo e ensino (85%) | Comunicação D2D (85%) | Iluminação - estudo e ensino (84%) | Botânica - estudo e ensino (84%) | Nutrição - estudo e ensino (84%) | Polimerização - estudo e ensino (83%) | Óptica - estudo e ensino (83%) | Cinema - estudo e ensino (83%) | Física - ensino e estudo (83%) | Física - estudo e  ensino (83%) | Física - estudo e ensino (83%) | Teatro - estudo e ensino (83%) | Surdos - meios de comunicação (83%) | Ciência - estudo e ensino (81%) | Comunicação oral (81%) | Química - estudo e ensino (81%) | Comunicação e saúde (81%) | Braille - estudo e ensino (81%) | Cultura - estudo e ensino (81%) | Direito - estudo e ensino (81%) | Teclado - estudo e ensino (81%);30;442
Medicamentos - Distrito Federal (Brasil);Distrito Federal (Brasil) (100%) | Medicamentos (100%) | Medicamentos - administração - Distrito Federal (Brasil) (100%) | Medicamentos - Distrito Federal (Brasil) (100%) | Cão - Distrito Federal (Brasil) (93%) | Aves - Distrito Federal (Brasil) (92%) | Soja - Distrito Federal (Brasil) (92%) | Distrito Federal (Brasil) - flora (90%) | Metrô - Distrito Federal (Brasil) (90%) | Saúde - Distrito Federal (Brasil) (90%) | Solos - Distrito Federal (Brasil) (90%) | Dengue - Distrito Federal (Brasil) (89%) | Idosos - Distrito Federal (Brasil) (89%) | Jovens - Distrito Federal (Brasil) (89%) | Teatro - Distrito Federal (Brasil) (89%) | Tomate - Distrito Federal (Brasil) (89%) | Medicamentos - uso (88%) | Medicamentos - prescrição - Distrito Federal (87%) | Educadores - Distrito Federal (Brasil) (87%) | Creches - Distrito Federal (Brasil) (87%) | Cultura - Distrito Federal (Brasil) (87%) | Distrito Federal (Brasil) - cultura (87%) | Emprego - Distrito Federal (Brasil) (87%) | Escolas - Distrito Federal (Brasil) (87%) | Esgotos - Distrito Federal (Brasil) (87%) | Família - Distrito Federal (Brasil) (87%) | Favelas - Distrito Federal (Brasil) (87%) | Plantas - Distrito Federal (Brasil) (87%) | Polícia - Distrito Federal (Brasil) (87%) | Educação - Distrito Federal (Brasil) (87%);30;458
Tecnologia da informação e comunicação;Comunicação (100%) | Comunicação da informação (100%) | Comunicação e tecnologia (100%) | Informação (100%) | Tecnologia (100%) | Tecnologia da informação (100%) | Tecnologia da informação e comunicação (100%) | Tecnologia da informação e da comunicação (100%) | Tecnologia da informação e da comunicação (TICs) (100%) | Tecnologias da informação e comunicação (99%) | Tecnologias de informação e comunicação (96%) | Tecnologia digital de informação e comunicação (96%) | Tecnologias digitais da informação e comunicação (88%) | Tecnologias digitais de informação e comunicação (88%) | Uso da informação (87%) | Tecnologia da informação - saúde (86%) | Educação - tecnologia da informação (85%) | Tecnologia da informação - educação (85%) | Tecnologias digitais de informação, comunicação (85%) | Comunicação D2D (85%) | Comunicação de massa e tecnologia (85%) | Tecnologia da informação - África (84%) | Tecnologia da informação - Brasil (84%) | Tecnologia BIM (83%) | Arte e tecnologia (83%) | Gestão de tecnologia da informação (83%) | Moda e tecnologia (83%) | Tecnologia da informação - administração (82%) | Ciência - tecnologia da informação - educação (81%) | Comunicação oral (81%);30;667
Embriologia - estudo e ensino;Embriologia (100%) | Embriologia - estudo e ensino (100%) | Ensino (100%) | Estudo (100%) | Estudo e ensino (100%) | Biologia - estudo e ensino (95%) | Ecologia - estudo e ensino (91%) | Geologia - estudo e ensino (91%) | Arquivologia - estudo e ensino (88%) | Museologia - estudo e ensino (88%) | Psicologia - estudo e ensino (88%) | Sociologia  - estudo e ensino (88%) | Sociologia - estudo e ensino (88%) | Zoologia - estudo e ensino (87%) | Arte - estudo e ensino (87%) | Ótica - estudo e ensino (85%) | Piano - estudo e ensino (85%) | Saúde - estudo e ensino (85%) | Bioética - estudo e ensino (84%) | Religião - estudo e ensino (84%) | Cinema - estudo e ensino (83%) | Física - ensino e estudo (83%) | Física - estudo e  ensino (83%) | Física - estudo e ensino (83%) | Óptica - estudo e ensino (83%) | Teatro - estudo e ensino (83%) | Odontologia - estudo e ensino (83%) | Biologia celular - estudo e ensino (83%) | Filosofia - estudo e ensino (82%) | Geografia - estudo e ensino (82%);30;379
Medicina alternativa - Distrito Federal (Brasil);Distrito Federal (Brasil) (100%) | Medicina (100%) | Medicina alternativa (100%) | Medicina alternativa - Distrito Federal (Brasil) (100%) | Cão - Distrito Federal (Brasil) (93%) | Aves - Distrito Federal (Brasil) (92%) | Soja - Distrito Federal (Brasil) (92%) | Distrito Federal (Brasil) - flora (90%) | Metrô - Distrito Federal (Brasil) (90%) | Saúde - Distrito Federal (Brasil) (90%) | Solos - Distrito Federal (Brasil) (90%) | Ética médica - Distrito Federal (Brasil) (89%) | Dengue - Distrito Federal (Brasil) (89%) | Idosos - Distrito Federal (Brasil) (89%) | Jovens - Distrito Federal (Brasil) (89%) | Teatro - Distrito Federal (Brasil) (89%) | Tomate - Distrito Federal (Brasil) (89%) | Creches - Distrito Federal (Brasil) (87%) | Cultura - Distrito Federal (Brasil) (87%) | Distrito Federal (Brasil) - cultura (87%) | Emprego - Distrito Federal (Brasil) (87%) | Escolas - Distrito Federal (Brasil) (87%) | Esgotos - Distrito Federal (Brasil) (87%) | Família - Distrito Federal (Brasil) (87%) | Favelas - Distrito Federal (Brasil) (87%) | Plantas - Distrito Federal (Brasil) (87%) | Polícia - Distrito Federal (Brasil) (87%) | Bioética - Distrito Federal (Brasil) (86%) | Botânica - Distrito Federal (Brasil) (86%) | Cerrados - Distrito Federal (Brasil) (86%);30;400
Meio Ambiente e desenvolvimento sustentável;Ambiente (100%) | Desenvolvimento (100%) | Desenvolvimento  Sustentável (100%) | Desenvolvimento sustentável (100%) | Meio Ambiente (100%) | Meio Ambiente e desenvolvimento sustentável (100%) | Desenvolvimento rural sustentável (90%) | Desenvolvimento urbano sustentável (89%) | Arte e Meio ambiente (86%) | Desenvolvimento sustentável - Brasil (86%) | Desenvolvimento sustentável - gestão ambiental (85%) | Uso sustentável (85%) | Turismo - desenvolvimento sustentável (84%) | Desenvolvimento local (83%) | Desenvolvimento moral (83%) | Desenvolvimento motor (83%) | Desenvolvimento rural (83%) | Desenvolvimento sustentável - Amazônia (83%) | Desenvolvimento sustentável - ecologia (83%) | Desenvolvimento sustentável - educação (83%) | Meio ambiente - desenvolvimento econômico (83%) | Desenvolvimento sustentável - Pará (PA) (82%) | Moda Sustentável (81%) | Desenvolvimento adulto (81%) | Desenvolvimento foliar (81%) | Desenvolvimento global (81%) | Desenvolvimento humano (81%) | Desenvolvimento social (81%) | Desenvolvimento urbano (81%) | Desenvolvimento e Cultura (81%);30;669
Televisão - aspectos psicológicos;Aspectos psicológicos (100%) | Televisão (100%) | Televisão - aspectos psicológicos (100%) | Dor - aspectos psicológicos (92%) | Arte - aspectos psicológicos (90%) | Luto - aspectos psicológicos (90%) | Região - aspectos psicológicos (89%) | Homem - aspectos psicológicos (88%) | Jogos - aspectos psicológicos (88%) | Morte - aspectos psicológicos (88%) | Tempo - aspectos psicológicos (88%) | Atletas - aspectos psicológicos (88%) | Adoção - aspectos psicológicos (87%) | Atores - aspectos psicológicos (87%) | Câncer - aspectos psicológicos (87%) | Idosos - aspectos psicológicos (87%) | Médico - aspectos psicológicos (87%) | Música - aspectos psicológicos (87%) | Doenças - aspectos psicológicos (85%) | Doentes - aspectos psicológicos (85%) | Escolas - aspectos psicológicos (85%) | Escrita - aspectos psicológicos (85%) | Família - aspectos psicológicos (85%) | Morfina - aspectos psicológicos (85%) | Velhice - aspectos psicológicos (85%) | Arritmia - aspectos psicológicos (84%) | Economia - aspectos psicológicos (84%) | Esportes - aspectos psicológicos (84%) | Trabalho - aspectos psicológicos (84%) | Alimentação - aspectos psicológicos (82%);30;206
Arquitetos - formação profissional;Arquitetos (100%) | Arquitetos - formação profissional (100%) | Formação (100%) | Formação profissional (100%) | Formação profissional - saúde (88%) | Formação profissional - Brasil (87%) | Música - formação profissional (87%) | Músicos - formação profissional (86%) | Tradutores - formação profissional (85%) | Polícia - formação profissional (85%) | Dentista - formação profissional (84%) | Formação Profissional - instituições (83%) | Vida profissional (83%) | Educadores - formação profissional (82%) | Formação profissional - avaliação (82%) | Banco do Brasil - formação profissional (81%) | Bibliotecários - formação profissional (81%) | Educação de adultos - formação profissional (81%) | Educação física - formação profissional (81%) | Enfermagem - formação profissional (81%) | Formação profissional - administração de pessoal (81%) | Formação profissional - aspectos psicológicos (81%) | Formação profissional - contabilidade (81%) | Formação profissional - Educação física (81%) | Formação profissional - enfermagem (81%) | Formação profissional - linguagem e línguas (81%) | Formação profissional - servidores públicos (81%) | Serviço Social - formação profissional (81%) | Terapeuta ocupacional - formação profissional (81%) | Trabalhadores - formação profissional (81%);30;198
Professores - história - Distrito Federal (Brasil);Distrito Federal (Brasil) (100%) | Distrito Federal (Brasil) - história (100%) | História (100%) | Professores (100%) | Professores - Distrito Federal (Brasil) (100%) | Professores - história (100%) | Professores - história - Distrito Federal (Brasil) (100%) | Cão - Distrito Federal (Brasil) (93%) | Professores de história (93%) | Aves - Distrito Federal (Brasil) (92%) | Soja - Distrito Federal (Brasil) (92%) | Distrito Federal (Brasil) - flora (90%) | Metrô - Distrito Federal (Brasil) (90%) | Saúde - Distrito Federal (Brasil) (90%) | Solos - Distrito Federal (Brasil) (90%) | Professores -  educação continuada - Distrito Federal (Brasil) (90%) | Educação - Distrito Federal (Brasil) - história (89%) | Dengue - Distrito Federal (Brasil) (89%) | Idosos - Distrito Federal (Brasil) (89%) | Jovens - Distrito Federal (Brasil) (89%) | Teatro - Distrito Federal (Brasil) (89%) | Tomate - Distrito Federal (Brasil) (89%) | Creches - Distrito Federal (Brasil) (87%) | Cultura - Distrito Federal (Brasil) (87%) | Distrito Federal (Brasil) - cultura (87%) | Emprego - Distrito Federal (Brasil) (87%) | Escolas - Distrito Federal (Brasil) (87%) | Esgotos - Distrito Federal (Brasil) (87%) | Família - Distrito Federal (Brasil) (87%) | Favelas - Distrito Federal (Brasil) (87%);30;486
Agricultura familiar - Distrito Federal (Brasil);Agricultura (100%) | Agricultura - Distrito Federal (Brasil) (100%) | Agricultura familiar (100%) | Agricultura familiar - Distrito Federal (100%) | Agricultura familiar - Distrito Federal (Brasil) (100%) | Distrito Federal (Brasil) (100%) | Distrito Federal (Brasil) - agricultura (100%) | Cão - Distrito Federal (Brasil) (93%) | Aves - Distrito Federal (Brasil) (92%) | Soja - Distrito Federal (Brasil) (92%) | Distrito Federal (Brasil) - flora (90%) | Metrô - Distrito Federal (Brasil) (90%) | Saúde - Distrito Federal (Brasil) (90%) | Solos - Distrito Federal (Brasil) (90%) | Dengue - Distrito Federal (Brasil) (89%) | Idosos - Distrito Federal (Brasil) (89%) | Jovens - Distrito Federal (Brasil) (89%) | Teatro - Distrito Federal (Brasil) (89%) | Tomate - Distrito Federal (Brasil) (89%) | Violência familiar - Distrito Federal (Brasil) (88%) | Creches - Distrito Federal (Brasil) (87%) | Cultura - Distrito Federal (Brasil) (87%) | Distrito Federal (Brasil) - cultura (87%) | Emprego - Distrito Federal (Brasil) (87%) | Escolas - Distrito Federal (Brasil) (87%) | Esgotos - Distrito Federal (Brasil) (87%) | Família - Distrito Federal (Brasil) (87%) | Favelas - Distrito Federal (Brasil) (87%) | Plantas - Distrito Federal (Brasil) (87%) | Polícia - Distrito Federal (Brasil) (87%);30;528
"Luto; Covid-19; Familiares; HospitalizaçãoLuto - aspectos psicológicos";"Aspectos psicológicos (100%) | Luto; Covid-19; Familiares; HospitalizaçãoLuto - aspectos psicológicos (100%) | Dor - aspectos psicológicos (92%) | Arte - aspectos psicológicos (90%) | Luto - aspectos psicológicos (90%) | Homem - aspectos psicológicos (88%) | Jogos - aspectos psicológicos (88%) | Morte - aspectos psicológicos (88%) | Tempo - aspectos psicológicos (88%) | Adoção - aspectos psicológicos (87%) | Atores - aspectos psicológicos (87%) | Câncer - aspectos psicológicos (87%) | Idosos - aspectos psicológicos (87%) | Médico - aspectos psicológicos (87%) | Música - aspectos psicológicos (87%) | Região - aspectos psicológicos (87%) | Atletas - aspectos psicológicos (85%) | Doenças - aspectos psicológicos (85%) | Doentes - aspectos psicológicos (85%) | Escolas - aspectos psicológicos (85%) | Escrita - aspectos psicológicos (85%) | Família - aspectos psicológicos (85%) | Morfina - aspectos psicológicos (85%) | Velhice - aspectos psicológicos (85%) | Arritmia - aspectos psicológicos (84%) | Economia - aspectos psicológicos (84%) | Esportes - aspectos psicológicos (84%) | Trabalho - aspectos psicológicos (84%) | Amputação - aspectos psicológicos (82%) | Corrupção - aspectos psicológicos (82%)";30;190
