Titulo,Link,Data
Aulas de apoio pedagógico em competências de leitura e escrita no colégio militar de Brasília : um estudo em letramento e discurso,http://repositorio.unb.br/handle/10482/19104,2016-01-07
Aulas de Biologia como espaço de reflexão e discussão para possibilitar a adoção de novos hábitos alimentares,https://repositorio.unb.br/handle/10482/37782,2020-05-18
Aulas de biologia como espaço de reflexão e discussão para possibilitar a adoção de novos hábitos alimentares,https://repositorio.unb.br/handle/10482/38607,2020-07-01
Avaliação da atividade antiepiléptica e da expressão neuronal de c-fos de dois peptídeos sintetizados a partir da Occidentalina-1202 isolada da vespa social Polybia occidentalis,http://repositorio.unb.br/handle/10482/12884,2013-04-24
Avaliação da atividade antiepiléptica e da expressão neuronal de c-fos de dois peptídeos sintetizados a partir da Occidentalina-1202 isolada da vespa social Polybia occidentalis,http://repositorio.unb.br/handle/10482/13260,2013-06-05
Avaliação da eficácia de um sistema conservante em formulações adicionadas de biomoléculas farmacêuticas e estudos de adaptação microbiana,http://repositorio.unb.br/handle/10482/8710,2011-06-28
Avaliação da eficácia de um sistema conservante em formulações adicionadas de biomoléculas farmacêuticas e estudos de adaptação microbiana,http://repositorio.unb.br/handle/10482/9424,2011-10-11
Avaliação da estrutura dos postos de revenda de combustíveis do Distrito Federal quanto à geração de resíduos aliada a análise de sua citotoxicidade e genotoxicidade,http://repositorio.unb.br/handle/10482/1409,2007
Avaliação da estrutura dos postos de revenda de combustíveis do Distrito Federal quanto à geração de resíduos aliada a análise de sua citotoxicidade e genotoxicidade,http://repositorio.unb.br/handle/10482/1458,2009-03-09
Avaliação de conceitos sobre dependência química entre estudantes de graduação na área de saúde da Universidade de Brasília,http://repositorio.unb.br/handle/10482/24760,2017-10-06
Avaliação de conceitos sobre dependência química entre estudantes de graduação na área de saúde da Universidade de Brasília,https://repositorio.unb.br/handle/10482/36164,2020-01-17
Avaliação de conhecimentos e atitudes dos cirurgiões dentistas em relação ao diagnóstico do câncer bucal : um estudo em Porto Velho - RO,http://repositorio.unb.br/handle/10482/1233,2008
Avaliação de conhecimentos e atitudes dos cirurgiões dentistas em relação ao diagnóstico do câncer bucal : um estudo em Porto Velho - RO,http://repositorio.unb.br/handle/10482/1674,2009-09-15
Avaliação de proficiência em leitura em Língua Espanhola dos graduandos em Letras Espanhol da Universidade de Brasília,https://repositorio.unb.br/handle/10482/39461,2020-09-24
Avaliação de proficiência em leitura em Língua Espanhola dos graduandos em Letras Espanhol da Universidade de Brasília,http://repositorio.unb.br/handle/10482/48065,2024-04-09
"Avaliação do estabelecimento de espécies de cerrado sentido restrito, a partir do plantio direto de sementes na recuperação de uma cascalheira na Fazenda Água Limpa - UnB",http://repositorio.unb.br/handle/10482/2976,2010-01-06
"Avaliação do estabelecimento de espécies de cerrado sentido restrito, a partir do plantio direto de sementes na recuperação de uma cascalheira na Fazenda Água Limpa - UnB",http://repositorio.unb.br/handle/10482/18575,2015-10-08
"Avaliação do sistema de vigilância da Síndrome Respiratória Aguda Grave (SRAG) com ênfase em Influenza no Brasil, 2014 a 2016",https://repositorio.unb.br/handle/10482/38493,2020-06-30
"Avaliação do sistema de vigilância da síndrome respiratória aguda grave (SRAG) com ênfase em Influenza no Brasil, 2014 a 2016",https://repositorio.unb.br/handle/10482/38499,
Avaliação dos controles Sarbox da gerência de operações de TI de uma empresa provedora de serviços de telecomunicações,http://repositorio.unb.br/handle/10482/2684,2008-05-05
Avaliação dos controles Sarbox da gerência de operações de TI de uma empresa provedora de serviços de telecomunicações,http://repositorio.unb.br/handle/10482/1349,2008-05-05
Avaliação dos custos da urbanização dispersa no Distrito Federal,http://repositorio.unb.br/handle/10482/2400,2008
Avaliação dos custos da urbanização dispersa no Distrito Federal,http://repositorio.unb.br/handle/10482/1206,2008-03-10
"Balanço social de instituições financeiras, evidenciação da responsabilidade social e a relação com a cotação de ações negociadas em bolsa de valores : um estudo multicasos",http://repositorio.unb.br/handle/10482/1350,2008
"Balanço social de instituições financeiras, evidenciação da responsabilidade social e a relação com a cotação de ações negociadas em bolsa de valores : um estudo multicasos",http://repositorio.unb.br/handle/10482/2806,2009-12-21
Brasil e Coréia do Sul : aspectos político-econômicos do relacionamento bilateral,https://repositorio.unb.br/handle/10482/41641,2021-08-12
Brasil e Coréia do Sul : aspectos político-econômicos do relacionamento bilateral,https://repositorio.unb.br/handle/10482/45149,2022-11-09
Capacidade sanitária da criança sob a perspectiva dos direitos humanos dos pacientes,https://repositorio.unb.br/handle/10482/37840,2020-05-21
Capacidade sanitária da criança sob a perspectiva dos direitos humanos dos pacientes,https://repositorio.unb.br/handle/10482/38459,2020-06-30
Capacidades dinâmicas em ouvidorias públicas ministeriais,http://repositorio.unb.br/handle/10482/50376,2024-09-17
Capacidades dinâmicas em ouvidorias públicas ministeriais,http://repositorio.unb.br/handle/10482/50945,
Caracterização da proteína fungoglobina e fosfoproteoma durante o estresse hipóxico em Paracoccidioides spp.,https://repositorio.unb.br/handle/10482/42367,2021-11-17
Caracterização da proteína fungoglobina e fosfoproteoma durante o estresse hipóxico em Paracoccidioides spp.,https://repositorio.unb.br/handle/10482/44612,2022-08-22
Caracterização de compostos nutricionais e antinutricionais em taiobas (Xanthosoma Schott),http://repositorio.unb.br/handle/10482/7270,2011-04-03
Caracterização de compostos nutricionais e antinutricionais em taiobas (Xanthosoma Schott),http://repositorio.unb.br/handle/10482/7274,2011-04-04
Caracterização do uso de dispositivos de tecnologia assistiva para compensação da função manual na tetraplegia completa pós-lesão medular,http://repositorio.unb.br/handle/10482/31465,2017-03-20
Caracterização do uso de dispositivos de tecnologia assistiva para compensação da função manual na tetraplegia completa pós-lesão medular,https://repositorio.unb.br/handle/10482/39573,2020-10-22
Classe trabalhadora sob a égide neoliberal : a interface entre trabalho e sua ideologia nas ocorrências entre os anos de 1990 às eleições de 2018 para o esvaziamento da dimensão das lutas de classes,http://repositorio.unb.br/handle/10482/46492,2023-09-15
Classe trabalhadora sob a égide neoliberal : a interface entre trabalho e sua ideologia nas ocorrências entre os anos de 1990 às eleições de 2018 para o esvaziamento da dimensão das lutas de classes,http://repositorio.unb.br/handle/10482/49915,2024-08-15
Compreensão do conceito de momento de uma força : aplicação no cálculo de estruturas na educação profissional de jovens e adultos,https://repositorio.unb.br/handle/10482/43529,2022-04-20
Compreensão do conceito de momento de uma força : aplicação no cálculo de estruturas na educação profissional de jovens e adultos,https://repositorio.unb.br/handle/10482/44110,2022-07-05
Confiabilidade da auto-aplicação do health assessment questionnaire modificado (haq-m) em uma população de portadores de artrite reumatóide no Brasil,http://repositorio.unb.br/handle/10482/1596,2006
Confiabilidade da auto-aplicação do health assessment questionnaire modificado (HAQ-M) em uma população de portadores de artrite reumatóide no Brasil,http://repositorio.unb.br/handle/10482/1497,2006
Configuração espacial da rede de atenção a saúde em cidades médias do Brasil e a efetivação da universalidade do acesso a saúde : estudo de caso de Joinville - 1988 a 2004,http://repositorio.unb.br/handle/10482/1598,2007-11-20
Configuração espacial da rede de atenção a saúde em cidades médias do Brasil e a efetivação da universalidade do acesso a saúde : estudo de caso de Joinville - 1988 a 2004,http://repositorio.unb.br/handle/10482/1092,2009-01-15
Considerações sobre impactos socioambientais de pequenas centrais hidrelétricas (PCHS) : modelagem e análise,http://repositorio.unb.br/handle/10482/1739,2008-04-30
Considerações sobre impactos socioambientais de Pequenas Centrais Hidrelétricas (PCHs) : modelagem e análise,http://repositorio.unb.br/handle/10482/1330,2008-04-30
Construindo a inclusão da temática educação sexual no projeto político pedagógico de um colégio público de Goiânia-Goiás na perspectiva da pesquisa-ação,http://repositorio.unb.br/handle/10482/3130,2007-12-13
Construindo a inclusão da temática educação sexual no projeto político pedagógico de um colégio público de Goiânia-Goiás na perspectiva da pesquisa-ação,http://repositorio.unb.br/handle/10482/5639,2010-10-11
Construção da biblioteca de cDNA da glândula de peçonha do escorpião Opisthacanthus cayaporum e clonagem de genes que codificam para componentes da peçonha,http://repositorio.unb.br/handle/10482/1072,2008
Construção da biblioteca de cDNA da glândula de peçonha do escorpião Opisthacanthus cayaporum e clonagem de genes que codificam para componentes da peçonha,http://repositorio.unb.br/handle/10482/1717,2008-07
CONSTRUÇÃO DE UM MODELO PARA AVALIAR A QUALIDADE DA INFORMAÇÃO ESTRATÉGICA,http://repositorio.unb.br/handle/10482/14928,2008-12-03
Construção de um modelo para avaliar a qualidade da informação estratégica,http://repositorio.unb.br/handle/10482/3648,2010-02-18
"Consumo em escolares de instituições particulares do Plano Piloto, Distrito Federal",http://repositorio.unb.br/handle/10482/19183,2016-01-15
"Consumo em escolares de instituições particulares do Plano Piloto, Distrito Federal",http://repositorio.unb.br/handle/10482/19295,2016-01-25
Contribuição ao estudo da circulação venosa coronariana na doença de Chagas crônica,https://repositorio.unb.br/handle/10482/37893,2020-05-28
Contribuição ao estudo da circulação venosa coronariana na doença de Chagas crônica,https://repositorio.unb.br/handle/10482/38981,2020-07-03
Crenças em relação à formação inicial de professores de inglês e a prática de ensino de uma professora formadora,http://repositorio.unb.br/handle/10482/936,2008
Crenças em relação à formação inicial de professores de inglês e a prática de ensino de uma professora formadora,http://repositorio.unb.br/handle/10482/2264,2009-11-24
Crítica da razão hídrica : multiplicando perspectivas e construindo futuros em Bacias Hidrográficas em crise no Distrito Federal,https://repositorio.unb.br/handle/10482/40334,2021-03-26
Crítica da razão hídrica : multiplicando perspectivas e construindo futuros em bacias hidrográficas em crise no Distrito Federal,https://repositorio.unb.br/handle/10482/40830,2021-05-06
Custos no serviço público - um modelo aplicado ao custeio dos processos judiciais,https://repositorio.unb.br/handle/10482/41056,2021-05-27
Custos no serviço público - um modelo aplicado ao custeio dos processos judiciais,https://repositorio.unb.br/handle/10482/42087,
Cálculo acurado da constante de dissociação ácida (pKa) para fármacos sulfonamidas,http://repositorio.unb.br/handle/10482/49485,2024-08-02
Cálculo acurado da constante de dissociação ácida (pKa) para fármacos sulfonamidas,http://repositorio.unb.br/handle/10482/49487,2024-08-02
Dayton Agreement and democracy to come in Bosnia and Herzegovina,http://repositorio.unb.br/handle/10482/23733,2017-06-23
Dayton Agreement and democracy to come in Bosnia and Herzegovina,http://repositorio.unb.br/handle/10482/31733,2018-04-25
Desafios globais da mineração em larga escala : uma análise dos Códigos de Conduta de Responsabilidade Social das multinacionais do setor,https://repositorio.unb.br/handle/10482/38292,2020-06-26
Desafios globais da mineração em larga escala : uma análise dos códigos de conduta de responsabilidade social das multinacionais do setor,https://repositorio.unb.br/handle/10482/38263,
Desenvolvimento de um sistema de análise por injeção em fluxo com fotoderivatização para determinação de NNG em glifosato,http://repositorio.unb.br/handle/10482/18364,2015-06-22
Desenvolvimento de um sistema de análise por injeção em fluxo com fotoderivatização para determinação de NNG em glifosato,http://repositorio.unb.br/handle/10482/19862,2016-04-05
Desenvolvimento de um sistema para monitoramento do módulo de elasticidade de materiais cimentícios desde as primeiras idades,https://repositorio.unb.br/handle/10482/41068,2021-05-31
Desenvolvimento de um sistema para monitoramento do módulo de elasticidade de materiais cimentícios desde as primeiras idades,http://repositorio.unb.br/handle/10482/47720,2024-01-08
Desenvolvimento e utilização de simulações no ambiente scratch para o estudo de soma e decomposição vetoriais e movimento de lançamento oblíquo como incentivo à autonomia do estudante,http://repositorio.unb.br/handle/10482/33746,2018-12-06
Desenvolvimento e utilização de simulações no ambiente scratch para o estudo de soma e decomposição vetoriais e movimento de lançamento oblíquo como incentivo à autonomia do estudante,http://repositorio.unb.br/handle/10482/33944,2019-02-01
Destilação Solar : aplicação no tratamento de efluentes líquidos de laboratórios,http://repositorio.unb.br/handle/10482/5694,2010-10-18
Destilação solar : aplicação no tratamento de efluentes líquidos de laboratórios,http://repositorio.unb.br/handle/10482/9063,2011-07-14
Detecção semi-automática da borda do ventrículo esquerdo,http://repositorio.unb.br/handle/10482/2940,2007
Detecção semi-automática da borda do ventrículo esquerdo,http://repositorio.unb.br/handle/10482/6729,2007-09
Determinação de patologias estruturais usando modelagem numérica e transformadas de wavelet,http://repositorio.unb.br/handle/10482/9496,2011-10-19
Determinação de patologias estruturais usando modelagem numérica e transformadas de wavelet,http://repositorio.unb.br/handle/10482/10261,2012-04-16
Discursos e identidades de gênero no contexto da escola,http://repositorio.unb.br/handle/10482/5277,2007
Discursos e identidades de gênero no contexto da escola,http://repositorio.unb.br/handle/10482/6567,2007
"Distribuição do valor adicionado aos recursos humanos dos bancos localizados no Brasil, no triênio 1998-2000 : análise comparativa",https://repositorio.unb.br/handle/10482/39215,2020-07-08
"Distribuição do valor adicionado aos recursos humanos dos bancos localizados no Brasil, no triênio 1998-2000 : análise comparativa",https://repositorio.unb.br/handle/10482/39255,2020-07-13
DoSSEC : proposta de detecção e mitigação de ataques SYN Flood em redes SDN,https://repositorio.unb.br/handle/10482/38799,2020-07-02
DoSSEC : proposta de detecção e mitigação de ataques SYN Flood em redes SDN,https://repositorio.unb.br/handle/10482/38884,
Dramaturgia da atuação cômica : o desempenho do ator na construção do riso,http://repositorio.unb.br/handle/10482/1795,2008
Dramaturgia da atuação cômica : o desempenho do ator na construção do riso,http://repositorio.unb.br/handle/10482/1403,2008
"Drosofilídeos (Insecta, Diptera) da mata do Pitoco : diversidade e distribuição vertical",http://repositorio.unb.br/handle/10482/4223,2010-04-15
"Drosofilídeos (Insecta, Diptera) da mata do Pitoco : diversidade e distribuição vertical",http://repositorio.unb.br/handle/10482/8279,2011-06-06
Educação em visualidades no “Chicão” : Centro Educacional São Francisco do Distrito Federal,http://repositorio.unb.br/handle/10482/34965,2019-07-03
Educação em visualidades no “Chicão” : Centro Educacional São Francisco do Distrito Federal,http://repositorio.unb.br/handle/10482/35625,2019-10-19
Efeito da variação do processo de síntese nas propriedades estruturais de nanopartículas de CoFe2O4,http://repositorio.unb.br/handle/10482/3425,2008-04
Efeito da variação do processo de síntese nas propriedades estruturais de Nanopartículas de CoFe2O4,http://repositorio.unb.br/handle/10482/2609,2009-12-08
Efeitos agudos da atividade de caminhada no equilíbrio postural e na distribuição de pressão plantar em crianças obesas e crianças eutróficas,https://repositorio.unb.br/handle/10482/42459,2021-11-26
Efeitos agudos da atividade de caminhada no equilíbrio postural e na distribuição de pressão plantar em crianças obesas e crianças eutróficas,https://repositorio.unb.br/handle/10482/42242,
Epistemologia do testemunho : uma avaliação crítica,http://repositorio.unb.br/handle/10482/18939,2015-12-16
Epistemologia do testemunho : uma avaliação crítica,http://repositorio.unb.br/handle/10482/19340,2016-01-26
Escolha entre o transporte interestadual aéreo e rodoviário de passageiros : avaliação da distância como fator determinante,http://repositorio.unb.br/handle/10482/15128,2014-02-11
Escolha entre o transporte interestadual aéreo e rodoviário de passageiros : avaliação da distância como fator determinante,http://repositorio.unb.br/handle/10482/18092,2015-05-06
Espaço Semente : o teatro comunitário como agente transformador na periferia,http://repositorio.unb.br/handle/10482/33823,2019-01-29
Espaço semente : o teatro comunitário como agente transformador na periferia,http://repositorio.unb.br/handle/10482/52323,2025-06-10
Estratégias de aprendizagem no trabalho em contexto de mudança organizacional,http://repositorio.unb.br/handle/10482/1597,2007-08
Estratégias de aprendizagem no trabalho em contexto de mudança organizacional,http://repositorio.unb.br/handle/10482/1104,2007-08
Estratégias de enfrentamento no envelhecer e adoecer : um estudo com idosos em cuidados paliativos,http://repositorio.unb.br/handle/10482/30996,2018-01-05
Estratégias de enfrentamento no envelhecer e adoecer : um estudo com idosos em cuidados paliativos,http://repositorio.unb.br/handle/10482/31724,2018-04-24
Estudo da expressão de moléculas de adesão celular durante a migração transendotelial dos leucócitos no pulmão de camundongos tratados com nanopartículas magnéticas recobertas com DMSA,http://repositorio.unb.br/handle/10482/8343,2011-06-13
Estudo da expressão de moléculas de adesão celular durante a migração transendotelial dos leucócitos no pulmão de camundongos tratados com nanopartículas magnéticas recobertas com DMSA,http://repositorio.unb.br/handle/10482/8715,2011-06-28
Estudo da fadiga dos músculos flexores do cotovelo e dos dígitos em contratação isométrica,http://repositorio.unb.br/handle/10482/5281,2005
Estudo da fadiga dos músculos flexores do cotovelo e dos dígitos em contratação isométrica,http://repositorio.unb.br/handle/10482/3263,2005-12
Estudo da legislação brasileira acerca do mercado de carbono : agricultura familiar e remineralizadores de solo,http://repositorio.unb.br/handle/10482/50698,2024-10-24
Estudo da legislação brasileira acerca do mercado de carbono : agricultura familiar e remineralizadores de solo,http://repositorio.unb.br/handle/10482/50697,2024-10-24
Estudo e simulação de técnicas de controle de tráfego de grupo de elevadores usando automação industrial,http://repositorio.unb.br/handle/10482/8893,2011-07-03
Estudo e simulação de técnicas de controle de tráfego de grupo de elevadores usando automação industrial,http://repositorio.unb.br/handle/10482/9166,2011-08-09
Estudo empírico dos fatores que influenciam as empresas brasileiras na decisão de listar suas ações em bolsas de valores estrangeiras,https://repositorio.unb.br/handle/10482/39148,2020-07-07
Estudo empírico dos fatores que influenciam as empresas brasileiras na decisão de listar suas ações em bolsas de valores estrangeiras,https://repositorio.unb.br/handle/10482/39158,2020-07-07
Fatoração QR como ferramenta para a determinação de poços principais em redes de monitoramento de aqüíferos freáticos,http://repositorio.unb.br/handle/10482/1884,2008
Fatoração QR como ferramenta para a determinação de poços principais em redes de monitoramento de aqüíferos freáticos,http://repositorio.unb.br/handle/10482/9021,2011-07-09
Fatores que interferem na qualidade de vida com diabetes : a opinião dos portadores,http://repositorio.unb.br/handle/10482/3088,2008
Fatores que interferem na qualidade de vida com diabetes : a opinião dos portadores,http://repositorio.unb.br/handle/10482/1503,2008-06
"Geologia e geocronologia da sequência Vulcano-sedimentar Campinorte e do Complexo Uruaçu, província Tocantins",http://repositorio.unb.br/handle/10482/6573,2011-01-25
"Geologia e geocronologia da sequência Vulcano-sedimentar Campinorte e do Complexo Uruaçu, província Tocantins",http://repositorio.unb.br/handle/10482/9064,2011-07-14
Gerenciamento de conflitos : uma proposta para as escolas da Secretaria de Educação do Distrito Federal,https://repositorio.unb.br/handle/10482/39460,2020-09-24
Gerenciamento de conflitos : uma proposta para as escolas da Secretaria de Educação do Distrito Federal,http://repositorio.unb.br/handle/10482/47440,2024-01-23
Gestalt-terapeutas do Brasil : formação e identidade,https://repositorio.unb.br/handle/10482/36746,2020-01-29
Gestalt-terapeutas do Brasil : formação e identidade,https://repositorio.unb.br/handle/10482/37241,2020-03-30
Gestão de pessoas e qualidade de vida no trabalho no contexto do Poder Legislativo do Distrito Federal,http://repositorio.unb.br/handle/10482/1188,2008-06
Gestão de pessoas e qualidade de vida no trabalho no contexto do Poder Legislativo do Distrito Federal,http://repositorio.unb.br/handle/10482/1994,2008-06
Gestão de redes de comunicação eletrônica multimídia convergentes e o cenário da televisão digital brasileira,http://repositorio.unb.br/handle/10482/3950,2008-04
Gestão de redes de comunicação eletrônica multimídia convergentes e o cenário da televisão digital brasileira,http://repositorio.unb.br/handle/10482/3720,2010-02-24
Impactos individuais e contextuais do deslocamento forçado na comunidade,http://repositorio.unb.br/handle/10482/34257,2019-04-01
Impactos individuais e contextuais do deslocamento forçado na comunidade,http://repositorio.unb.br/handle/10482/35093,2019-07-17
Implementação e simulação de algoritmos de escalonamento para sistemas de elevadores usando arquiteturas reconfiguráveis,http://repositorio.unb.br/handle/10482/6734,2006-11
Implementação e simulação de algoritmos de escalonamento para sistemas de elevadores usando arquiteturas reconfiguráveis,http://repositorio.unb.br/handle/10482/5748,2010-10-25
Indicadores de perfil profissional do supervisor de estágio em Psicologia Escolar,https://repositorio.unb.br/handle/10482/42912,2022-02-15
Indicadores de perfil profissional do supervisor de estágio em Psicologia Escolar,https://repositorio.unb.br/handle/10482/42939,2022-02-17
Indicadores de potencialidades e desempenho de agregados reciclados de resíduos sólidos da construção civil em pavimentos flexíveis,http://repositorio.unb.br/handle/10482/5509,2007-07
