Termo Sugerido (Mais Comum);Variações Detectadas (Duplicatas);Qtd Variações;Frequência Total
Negros - vida e costumes sociais;Egito - vida e costumes sociais [Score: 92] | Índios - vida e costumes sociais [Score: 91] | Vaqueiros - vida e costumes sociais [Score: 90] | Gaúchos - vida e costumes sociais [Score: 89];4;11
Escolas públicas - Distrito Federal (Brasil);Saúde pública - Distrito Federal (Brasil) [Score: 89] | Bibliotecas públicas - Distrito Federal (Brasil) [Score: 89] | Escolas particulares - Distrito Federal (Brasil) [Score: 89] | Escolas - Distrito Federal (Brasil) [Score: 89];4;102
Ovino - alimentação e rações;Bovino - alimentação e rações [Score: 98] | Caprino - alimentação e rações [Score: 90] | Cão - alimentação e rações [Score: 89] | Cordeiro - alimentação e rações [Score: 88];4;13
Vitamina D;Vitamina A [Score: 90] | Vitamina C [Score: 90] | Vitamina E [Score: 90] | Vitamina K [Score: 90];4;32
Relações Internacionais;Relações intergeracionais [Score: 92] | Migrações internacionais [Score: 89] | Adoções internacionais [Score: 89] | Relações interorganizacionais [Score: 88];4;149
Brasil. Constituição (1988);Brasil. Constituição (1946) [Score: 93] | Brasil. Constituição (1934) [Score: 93] | Brasil. Constituição (1967) [Score: 93] | Brasil. Constituição (1891) [Score: 93];4;25
Citotoxicidade;Fitotoxicidade [Score: 93] | Citotoxidade [Score: 92] | Ototoxicidade [Score: 89] | Ecotoxicidade [Score: 89];4;34
Grupos finitos;P-grupos finitos [Score: 93] | Grupos-p finitos [Score: 93] | Grupo finito [Score: 92] | Grupos profinitos [Score: 90];4;55
Hepatite B;Hepatite C [Score: 90] | Hepatite A [Score: 90] | Hepatite E [Score: 90] | Hepatite [Score: 89];4;37
Cão - doenças - diagnóstico;Cavalo - doenças - diagnóstico [Score: 91] | Boca - doenças - diagnóstico [Score: 91] | Cérebro - doenças - diagnóstico [Score: 90] | Olhos - doenças - diagnóstico [Score: 89];4;14
Física - estudo e ensino;Física - estudo e  ensino [Score: 98] | Química - estudo e ensino [Score: 90] | Ótica - estudo e ensino [Score: 89] | Lnguística - estudo e ensino [Score: 88];4;133
Sistemas de Informação;Sistemas de informação. [Score: 98] | Sistema de informação [Score: 98] | Ecossistemas de informação [Score: 92] | Sistemas de inovação [Score: 90];4;92
Desenvolvimento sustentável;Desenvolvimento  Sustentável [Score: 98] | Desenevolvimento sustentável [Score: 98] | Desenvolvimento rural sustentável [Score: 90] | Desenvolvimento urbano sustentável [Score: 89];4;270
Etnologia;Etonologia [Score: 95] | Etologia [Score: 94] | Etiologia [Score: 89] | Fenologia [Score: 89];4;99
Tecnologia da informação e da comunicação;Tecnologia da informação e comunicação [Score: 96] | Tecnologias da informação e comunicação [Score: 95] | Tecnologias de informação e comunicação [Score: 92] | Tecnologia da informação e da comunicação (TICs) [Score: 92];4;97
Transporte de sedimentos;Transportes de sedimentos [Score: 98] | Aporte de sedimentos [Score: 91] | Aporte de sedimento [Score: 88];3;12
Trypanosoma cruzi;Trypanossoma cruzi [Score: 97] | Tripanosoma cruzi [Score: 94] | Tripanossoma cruzi [Score: 91];3;116
Desenvolvimento rural;Desenvolvimento tumoral [Score: 91] | Desenvolvimento moral [Score: 90] | Desenvolvimento cultural [Score: 89];3;63
Mortalidade;Moralidade [Score: 95] | Moralidades [Score: 91] | Oralidade [Score: 90];3;90
Imigrantes;Migrantes [Score: 95] | Imigrante [Score: 95] | Emigrantes [Score: 90];3;29
Hipotireoidismo;Hipotiroidismo [Score: 97] | Hipertireoidismo [Score: 90] | Hipoparatireoidismo [Score: 88];3;12
Petróleo submarino - exploração - Brasil;Petróleo submarino - regulação - Brasil [Score: 91] | Petróleo submarino - legislação - Brasil [Score: 90] | Petróleo submarino - produção - Brasil [Score: 90];3;4
Fitopatologia;Citopatologia [Score: 92] | Histopatologia [Score: 89] | Fisiopatologia [Score: 89];3;85
Poliácido láctico;Poliácido lático [Score: 97] | Poli(ácido láctico) [Score: 94] | Poli ácido lático [Score: 94];3;5
Sistemas de recuperação da informação - segurança;Sistemas de recuperação da informação - geologia [Score: 89] | Sistemas de recuperação da informação - Medicina [Score: 89] | Sistemas de recuperação da informação - arquitetura [Score: 88];3;10
Meios de comunicação;Meio de comunicação [Score: 97] | Modelos de comunicação [Score: 90] | Serviços de comunicação [Score: 88];3;11
Educação em saúde;Educação e saúde [Score: 97] | Educação - saúde [Score: 91] | Educação da saúde [Score: 88];3;66
Sistemas lineares;Sistemas bilineares [Score: 94] | Sistemas não-lineares [Score: 89] | Sistemas não lineares [Score: 89];3;30
Tecnologia;Tecnologias [Score: 95] | Ecologia [Score: 89] | Teologia [Score: 89];3;143
Professores de Música;Professores - música [Score: 93] | Professores de física [Score: 90] | Professores de química [Score: 88];3;26
Tecnologia social;Ecologia social [Score: 94] | Tecnologias sociais [Score: 89] | Tecnologia espacial [Score: 89];3;21
Coletores de materiais recicláveis;Catadores de materiais recicláveis [Score: 91] | Catatores de materiais recicláveis [Score: 91] | Catadoras de materiais recicláveis [Score: 88];3;28
Bioestratigrafia;Litoestratigrafia [Score: 91] | Estratigrafia [Score: 90] | Sismoestratigrafia [Score: 88];3;10
Desenvolvimento social;Desenvolvimento local [Score: 93] | Desenvolvimento pessoal [Score: 89] | Desenvolvimento psicossocial [Score: 88];3;32
Política pública;Política  pública [Score: 97] | Políticas Públicas [Score: 94] | Politica pública [Score: 94];3;650
Dispositivos eletrônicos;Dispositivos optoeletrônicos [Score: 92] | Dispositivos nanoeletrônicos [Score: 92] | Dispositivos eletromecânicos [Score: 88];3;9
Fungos - agentes no controle biológico de pragas;Fungos como agentes no controle biológico de pragas [Score: 95] | Agentes no controle biológico de pragas [Score: 90] | Insetos como agentes no controle biológico de pragas [Score: 88];3;13
Botânica - Distrito Federal (Brasil);Bioética - Distrito Federal (Brasil) [Score: 94] | Soja - Distrito Federal (Brasil) [Score: 88] | Bibliotecas - Distrito Federal (Brasil) [Score: 88];3;10
Transporte rodoviário;Transporte hidroviário [Score: 88] | Transporte ferroviário [Score: 88] | Transporte metroviário [Score: 88];3;37
Etnografia digital;Tipografia digital [Score: 89] | Infografia digital [Score: 89] | Fotografia digital [Score: 89];3;7
Teoria dos grupos;Teoria do grupo [Score: 94] | Teoria de grupos [Score: 91] | Teoria dos grafos [Score: 88];3;45
Java (Linguagem de programação de computador);FORTRAN (Linguagem de programação de computador) [Score: 90] | Python (Linguagem de programação de computador) [Score: 89] | Prolog (Linguagem de programação de computador) [Score: 89];3;9
Mapeamento geológico;Mapeamento pedológico [Score: 93] | Mapeamento geomorfológico [Score: 89] | Mapeamento arqueológico [Score: 88];3;41
Solos - uso - Distrito Federal (Brasil);Solos - erosão - Distrito Federal (Brasil) [Score: 94] | Solos - Distrito Federal (Brasil) [Score: 92] | Solos - umidade - Distrito Federal (Brasil) [Score: 90];3;10
Mediação;Meditação [Score: 94] | Medicação [Score: 94] | Medição [Score: 93];3;37
Solos - qualidade;Solo - qualidade [Score: 97] | Sono - qualidade [Score: 91] | Ovos - qualidade [Score: 91];3;42
Estatística;Estatísticas [Score: 96] | Bioestatística [Score: 88] | Geoestatística [Score: 88];3;43
Mineralização;Remineralização [Score: 93] | Biomineralização [Score: 90] | Internalização [Score: 89];3;30
Relações internacionais - Brasil;Relações Internacionais Brasileiras [Score: 90] | Relações internacionais - Brasil - China [Score: 89] | Relações internacionais - Brasil - Japão [Score: 89];3;28
Institutos Federais de Educação, Ciência e Tecnologia;Instituto Federal de Educação, Ciência e Tecnologia [Score: 96] | Instituto Federal de Educação, Ciência e Tecnologia de Goiás [Score: 88] | Instituto Federal de Educação, Ciência e Tecnologia do Piauí [Score: 88];3;59
Micronutrientes;Micronutriente [Score: 97] | Macronutrientes [Score: 93] | Macronutriente [Score: 90];3;6
Método dos Elementos de Contorno;Métodos dos elementos de contorno [Score: 98] | Métodos de elementos de contorno [Score: 94] | Método dos elementos de contorno dual [Score: 93];3;55
Organizações não-governamentais;Organizações não governamentais [Score: 97] | Organizações governamentais [Score: 93] | ProgramOrganizações não-governamentais [Score: 90];3;42
DOSVOX (Sistema operacional de computador);Linux (Sistema operacional de computador) [Score: 89] | Windows NT (Sistema operacional de computador) [Score: 89] | Python (Sistema operacional de computador) [Score: 88];3;10
Arquitetura e clima - Brasília (DF);Arquitetura e sociedade - Brasília (DF) [Score: 89] | Arquitetura religiosa - Brasília (DF) [Score: 89] | Arquitetura pública - Brasília (DF) [Score: 89];3;7
Receptores ativados por proliferadores peroxissomais (PPAR);Receptores Ativados por Proliferadores de Peroxissomo (PPAR) [Score: 94] | Receptor ativado por proliferador peroxissomal (PPAR) [Score: 93] | Receptor ativado por proliferador peroxissomal gama (PPARy) [Score: 88];3;4
Milho - doenças e pragas;Milheto - doenças e pragas [Score: 96] | Jiló - doenças e pragas [Score: 89] | Repolho - doenças e pragas [Score: 88];3;27
Comportamento organizacional;Comprometimento organizacional [Score: 90] | Comportamento transicional [Score: 89] | Comprometimiento organizacional [Score: 88];3;61
Toxicologia;Toxinologia [Score: 91] | Tocologia [Score: 90] | Ecotoxicologia [Score: 88];3;27
M-learning;E-learning [Score: 90] | Q-Learning [Score: 90] | Learning [Score: 89];3;6
Qualidade dos frutos;Qualidade do fruto [Score: 95] | Qualidade de frutos [Score: 92] | Qualidade de fruto [Score: 89];3;5
Ativismo;Artivismo [Score: 94] | Enativismo [Score: 89] | Lactivismo [Score: 89];3;21
Escritores;Descritores [Score: 95] | Escritoras [Score: 90] | Escritor [Score: 89];3;13
Comportamento social;Comportamento pró-social [Score: 91] | Comportamento pro-social [Score: 91] | Comportamento fiscal [Score: 90];3;16
Polícia militar - Distrito Federal (Brasil);Violência familiar - Distrito Federal (Brasil) [Score: 90] | Política alimentar - Distrito Federal (Brasil) [Score: 90] | Polícia - Distrito Federal (Brasil) [Score: 90];3;29
França - história;Dança - história [Score: 91] | Crianças - história [Score: 89] | Ruanda - história [Score: 88];3;5
Violino - instrução e estudo;Violão - instrução e estudo [Score: 95] | Viola - instrução e estudo [Score: 93] | Violoncelo - instrução e estudo [Score: 92];3;12
Língua inglesa - Estudo e ensino;Língua japonesa - estudo e ensino [Score: 89] | Língua francesa - estudo e ensino [Score: 89] | Língua latina - estudo e ensino [Score: 89];3;96
Etnografia;Netnografia [Score: 95] | Enografia [Score: 95] | Cenografia [Score: 90];3;92
Política de saúde;Políticas de saúde [Score: 97] | Política e saúde [Score: 97] | Políticas em saúde [Score: 91];3;146
Política de informação;Política de formação [Score: 95] | Política de inovação [Score: 90] | Políticas de inovação [Score: 88];3;12
Distribuição de renda;Redistribuição de renda [Score: 95] | Distribuição de perdas [Score: 88] | Distribuições de renda [Score: 88];3;5
Caracterização química;Caracterização bioquímica [Score: 94] | Caracterizações química [Score: 89] | Caracterização física [Score: 88];3;14
Energia elétrica - geração;Energia elétrica - gestão [Score: 90] | Energia elétrica - conservação [Score: 89] | Energia elétrica - tarifação [Score: 89];3;5
Comportamento mecânico;Comportamento nanomecânico [Score: 92] | Comportamento hidromecânico [Score: 90] | Comportamento econômico [Score: 89];3;14
Estados Unidos - relações exteriores;Estados Unidos - relações exteriores - Irã [Score: 92] | Estados Unidos - relações exteriores - Cuba [Score: 91] | Estados Unidos - relações exteriores - Brasil [Score: 89];3;15
Reconhecimento social;Reconhecimento espacial [Score: 91] | Reconhecimento facial [Score: 90] | Reconnhecimento facial [Score: 88];3;9
Deficiência de vitamina A;Deficiência de vitamina E [Score: 96] | Deficiência de vitamina D [Score: 96] | Deficiência de vitaminas [Score: 94];3;15
Infraestrutura física;Infraestrutura hídrica [Score: 88] | Infraestrutura crítica [Score: 88];2;6
Trichoderma harzianum;Trichoderma haraianum [Score: 95] | Trichoderma afroharzianum [Score: 91];2;12
Aprendizagem baseada em projetos;Aprendizagem baseada em projeto [Score: 98] | Aprendizagem baseada em problemas [Score: 89];2;12
Processo seletivo;Processos seletivos [Score: 94] | Processo coletivo [Score: 88];2;4
Políticas públicas - esportes;Política pública - esportes [Score: 96] | Políticas públicas - desastres [Score: 88];2;11
Sistema CIE La*b*;Sistema CIE-L*a*b* [Score: 91] | Sistema CIELAB [Score: 90];2;6
Solos lateríticos;Solos - lateríticos [Score: 94] | Solos sateríticos [Score: 94];2;5
Sociologia - aspectos econômicos;Criminologia - aspectos econômicos [Score: 91] | Clima - aspectos econômicos [Score: 88];2;6
Hidrelétrica;Hidrelétricas [Score: 96] | Hidroelétricas [Score: 92];2;13
Universidade de Brasília. Faculdade de Ceilândia;Universidade de Brasília. Faculdade de Planaltina [Score: 89] | Universidade de Brasília. Faculdade de Educação [Score: 88];2;12
Afeto;Afetos [Score: 91] | Feto [Score: 89];2;14
Cultura - aspectos sociológicos;Natureza - aspectos sociológicos [Score: 89] | Caça - aspectos sociológicos [Score: 88];2;6
Análise filogenética;Análise filogenétic [Score: 97] | Análise genética [Score: 89];2;5
Linguística sistêmico funcional;Linguística sistêmico-funcional [Score: 97] | Linguística-Sistêmico Funcional [Score: 97];2;11
Stratiomyidae;Stratiomyinae [Score: 92] | Stratiomyoidea [Score: 89];2;8
Leguminosas;Leguminosa [Score: 95] | Leguminosae [Score: 91];2;18
Recuperação de áreas degradadas;Recuperação de áreas  degradadas [Score: 98] | Regeneração de áreas degradadas [Score: 90];2;23
Documentos fotográficos;Documento fotográfico [Score: 95] | Documentos iconográficos [Score: 89];2;10
Expressão facial;Expresssão facial [Score: 97] | Expressão espacial [Score: 88];2;24
Tradução - estudo e ensino;Educação - estudo e ensino [Score: 88] | Nutrição - estudo e ensino [Score: 88];2;12
Programa Internacional de Avaliação de Estudantes (PISA);Programa Internacional para Avaliação de Estudantes (Pisa) [Score: 95] | Programa Internacional de Avaliação de Alunos (Pisa) [Score: 91];2;8
Teoria dos stakeholders;Teoria do stakeholder [Score: 95] | Teoria de stakeholders [Score: 93];2;5
Aprendizagem - língua inglesa;Aprendizagem - língua japonesa [Score: 88] | Aprendizagem - língua francesa [Score: 88];2;6
Informação em saúde;Desinformação em saúde [Score: 93] | Inovação em saúde [Score: 89];2;25
Jornalismo - aspectos sociais;Telejornalismo - aspectos sociais [Score: 94] | Jornalismo - aspectos sociológicos [Score: 89];2;25
Cientometria;Citometria [Score: 91] | Cienciometria [Score: 88];2;17
Transporte rodoviário - Brasil;Transporte ferroviário - Brasil [Score: 92] | Transporte rodoviário - tarifas [Score: 89];2;9
Psicologia étnica;Psicologia genética [Score: 89] | Psicologia médica [Score: 88];2;3
Índios - América Latina;Índios da América Latina [Score: 94] | Nativos - América Latina [Score: 89];2;4
Professores de línguas - formação;Professores de inglês - formação [Score: 89] | Professores de línguas - formação inicial [Score: 89];2;37
Índios da América do Sul - Brasil - educação (Superior);Indígenas da América do Sul - Brasil - educação (Superior) [Score: 92] | Índios da América do Sul - Brasil - educação [Score: 89];2;4
Tração;Traço [Score: 91] | Ração [Score: 91];2;3
Produto;Produtor [Score: 93] | Produtos [Score: 93];2;4
Arquitetura - Brasília (DF);Arquitetas - Brasília (DF) [Score: 94] | Arquitetos - Brasília (DF) [Score: 91];2;22
World Wide Web (Sistema de recuperação da informação);World Wide Web (Sistema de recuperação da informação) - semântica [Score: 90] | World Wide Web (Sistema de recuperação da informação) - avaliação [Score: 90];2;8
Topografia;Tomografia [Score: 90] | Tipografia [Score: 90];2;35
Teoria das cordas;Teoria da cordas [Score: 97] | Teoria das formas [Score: 88];2;3
Territorialização;Reterritorialização [Score: 94] | Desterritorialização [Score: 92];2;9
Mineralogia - Goiás (Estado);Mineralização - Goiás (Estado) [Score: 90] | Metalogenia - Goiás (Estado) [Score: 89];2;12
Rios;Ricos [Score: 89] | Raios [Score: 89];2;8
Teoria do conhecimento;Teoria do Reconhecimento [Score: 96] | Teoria do autoconhecimento [Score: 92];2;22
Direito de propriedade;Direitos de propriedade [Score: 98] | Direito à propriedade [Score: 93];2;17
Teoria dos sistemas;Teoria de sistemas [Score: 92] | Teoria dos polissistemas [Score: 88];2;22
Língua portuguesa - fonologia;Língua portuguesa - morfologia [Score: 92] | Língua portuguesa - etimologia [Score: 88];2;12
Sistema Nacional de Atendimento Socioeducativo;Sistema Nacional de Atendimento  Socioeducativo [Score: 99] | Sistema de atendimento socioeducativo [Score: 89];2;7
Emissão de CO2;Emissão de NO2 [Score: 93] | Emissão de NO [Score: 89];2;13
Diálogos constitucionais;Diálogos institucionais [Score: 94] | Diálogo constitucional [Score: 91];2;4
Normalização;Normatização [Score: 92] | Nominalização [Score: 88];2;24
Brasil - história - 1964-1985;Brasil - história -1964-1985 [Score: 98] | Brasil - história - 1937-1945 [Score: 90];2;11
Madeira - exploração;Madeiras - exploração [Score: 98] | Madeira - extração [Score: 89];2;13
Desenvolvimento tecnológico;Desenvolvimento mercadológico [Score: 89] | Desenvolvimento psicológico [Score: 89];2;28
Controle não linear;Controle não-linear [Score: 95] | Controle linear [Score: 88];2;10
Dentes - doenças - diagnóstico;Rins - doenças - diagnóstico [Score: 90] | Aves - doenças - diagnóstico [Score: 90];2;6
Análise custo-benefício;Análise custo benefício [Score: 96] | Análise de custo-benefícios [Score: 92];2;9
Petrologia - Goiás (Estado);Etnologia - Goiás (Estado) [Score: 94] | Geologia - Goiás (Estado) [Score: 92];2;10
Toxicidade;Citoxicidade [Score: 91] | Toxidade [Score: 89];2;33
Hidrazona;Hidrazonas [Score: 95] | Hidrazina [Score: 89];2;5
Universidade;Universidades [Score: 96] | Universalidade [Score: 92];2;8
Responsabilidade Social;Responsabilidade fiscal [Score: 91] | Responsabilidade civil [Score: 89];2;44
Tecnologia digital;Tecnologia digitais [Score: 92] | Tecnologias digitais [Score: 89];2;38
Bacias hidrográficas - Distrito Federal (Brasil);Solos - bacias hidrográficas - Distrito Federal (Brasil) [Score: 92] | Bacias hidrográficas - Preto, Rio - Distrito Federal (Brasil) [Score: 88];2;28
Empregados;Empregadores [Score: 91] | Empregador [Score: 90];2;5
Tecnologia em educação;Tecnologia e educação [Score: 98] | Tecnologia na educação [Score: 91];2;10
Mitigação de risco;Mitigação de riscos [Score: 97] | Migração de riscos [Score: 89];2;4
Políticas públicas - Brasil;Política pública - Brasil [Score: 96] | Políticas públicas - drogas [Score: 89];2;36
Simulação de Monte Carlo;Simulação Monte Carlo [Score: 93] | Simulações de Monte Carlo [Score: 90];2;12
Resistência antimicrobiana;Resistência microbiana [Score: 92] | Resistência a antimicrobianos [Score: 91];2;34
Método dos elementos discretos;Métodos elementos discretos [Score: 95] | Método do elemento discreto [Score: 95];2;7
Bibliotecários;Bibliotecário [Score: 96] | Bibliotecarios [Score: 93];2;30
Materiais nanoestruturados;Material nanoestruturado [Score: 92] | Íons - materiais nanoestruturados [Score: 88];2;27
Estudos da tradução;Estudos da  tradução [Score: 97] | Estudos de tradução [Score: 95];2;30
Índios da América do Sul - vida e costumes sociais;Índios da América do Sul - Brasil - vida e costumes sociais [Score: 92] | Indígenas da América do Sul - vida e costumes sociais [Score: 91];2;7
Elasticidade;Plasticidade [Score: 92] | Espasticidade [Score: 88];2;45
Sustentabilidade ambiental;Sustentabilidade socioambiental [Score: 91] | Sustentabilidade orbital [Score: 88];2;32
Processo de inovação;Processos de inovação [Score: 98] | Processos - inovação [Score: 90];2;5
Programas de sustentação de renda;Programa de sustentação de renda [Score: 98] | Programas de sustentação de renda - Brasil [Score: 88];2;16
Termodinâmica;Aerodinâmica [Score: 88] | Hemodinâmica [Score: 88];2;33
Larva;Larvas [Score: 91] | Larvae [Score: 91];2;6
Tecnologias digitais da informação e comunicação;Tecnologias digitais de informação e comunicação [Score: 98] | Tecnologia digital de informação e comunicação [Score: 94];2;13
Intertextualidade;Hipertextualidade [Score: 88] | Interssexualidade [Score: 88];2;38
Nacionalismo;Nacioanalismo [Score: 96] | Racionalismo [Score: 92];2;14
Biologia computacional;Musicologia computacional [Score: 89] | Patologia computacional [Score: 89];2;27
Colonização;Decolonização [Score: 92] | Descolonização [Score: 88];2;18
Habitação - aspectos sociais;Alimentação - aspectos sociais [Score: 90] | Automação - aspectos sociais [Score: 89];2;5
Política de comunicação;Políticas de comunicação [Score: 98] | Políticas de telecomunicação [Score: 90];2;18
Rentabilidade;Printabilidade [Score: 89] | Estabilidade [Score: 88];2;20
Cabos elétricos;Campos elétricos [Score: 90] | Carros elétricos [Score: 90];2;17
Teoria dos Custos de Transação;Teoria do custo de transação [Score: 97] | Economia dos custos de transação [Score: 90];2;6
Arquitetura - Distrito Federal (Brasil);Agricultura - Distrito Federal (Brasil) [Score: 90] | Arte urbana - Distrito Federal (Brasil) [Score: 90];2;5
Microestrutura;Microestruturas [Score: 97] | Macroestrutura [Score: 93];2;26
Zoologia - população;Biologia - população [Score: 90] | Ecologia - população [Score: 90];2;6
International Financial Reporting Standards (IFRS);International Financial Reporting Standards 16 (IFRS 16) [Score: 94] | International Financial Reporting Standards [Score: 92];2;6
Visibilidade;Invisibilidade [Score: 92] | Previsibilidade [Score: 89];2;6
Programa Educação com Movimento (PECM);Programa Educação com Movimento [Score: 90] | Projeto Educação com Movimento (PECM) [Score: 88];2;7
Audição;Audiação [Score: 93] | Adição [Score: 92];2;5
Intervenção psicológica;Intervenção neuropsicológica [Score: 90] | Intervenção psicopedagógica [Score: 88];2;6
Comunicações óticas;Comunicações ópticas [Score: 97] | Comunicações críticas [Score: 90];2;8
Economia comportamental;Ecologia comportamental [Score: 91] | Macroeconomia comportamental [Score: 90];2;10
Produção;Coprodução [Score: 89] | Reprodução [Score: 89];2;24
Distribuição Multivariada G-elíptica-assimétrica t-Student;Distribuição Multivariada G-elíptica-assimétrica [Score: 91] | Distribuição Multivariada G-elíptica-assimétrica normal [Score: 88];2;3
Ecoturismo;Geoturismo [Score: 90] | Enoturismo [Score: 90];2;27
Sociabilidade;Sociabilidades [Score: 96] | Socialidade [Score: 92];2;15
Sistema reprodutivo;Sistemas reprodutivos [Score: 95] | Sistema produtivo [Score: 94];2;5
Universidades e faculdades - aspectos sociológicos;Universidades e faculdades - aspectos sociais [Score: 93] | Universidades e faculdades - aspectos econômicos [Score: 90];2;5
Distribuições assimétricas;Distribuições simétricas [Score: 96] | Distribuições log-simétricas [Score: 89];2;3
Educação infantil - Distrito Federal (Brasil);Educação integral - Distrito Federal (Brasil) [Score: 91] | Educação especial - Distrito Federal (Brasil) [Score: 89];2;9
Áreas urbanas;Áreas  urbanas [Score: 96] | Área urbana [Score: 92];2;7
Evasão universitária;Gestão universitária [Score: 90] | Televisão universitária [Score: 88];2;40
Comissão parlamentar de inquérito;Comissão Parlamentar Mista de Inquérito [Score: 92] | Comissão Parlamentar de Inquérito (CPI) [Score: 92];2;7
Viscoelasticidade;Viscoplasticidade [Score: 94] | Poroviscoelasticidade [Score: 89];2;21
Direitos das mulheres;Direito das mulheres [Score: 98] | Direitos da mulher [Score: 92];2;21
Violência escolar;Vivência escolar [Score: 91] | Violência na escola [Score: 89];2;27
Ciência - história;Consciência - história [Score: 90] | China - história [Score: 88];2;15
